
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =1740
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.641   TIME= 00:06:05
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   00:06:05  FEB 19, 2018 CP=      0.641

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     112    0.17196E-002  -0.39986E+000   0.71030E-002  -0.85696E-003  -0.41144E-003   0.42664E-004
     113    0.17047E-002  -0.39938E+000   0.77959E-002  -0.11594E-002  -0.70424E-004  -0.22765E-003
     114    0.19820E-002  -0.39986E+000   0.82469E-002  -0.10926E-002   0.75467E-003  -0.46796E-003
     115    0.16888E-002  -0.39895E+000   0.66420E-002  -0.13346E-002   0.10990E-002  -0.44913E-003
     116    0.14977E-002  -0.39935E+000   0.52850E-002  -0.13554E-002   0.15767E-002  -0.44614E-003
     117    0.99869E-003  -0.39884E+000   0.30145E-002  -0.10702E-002   0.15600E-002  -0.45235E-003
     118    0.46851E-003  -0.39883E+000   0.69974E-003  -0.73081E-003   0.80500E-003  -0.13840E-003
     119   -0.18127E+000  -0.54000E+000  -0.19602E+000   0.83645E-001  -0.10192E+000  -0.55169E-002
     120   -0.23941E+000  -0.55862E+000  -0.23941E+000   0.60342E-001  -0.11689E+000  -0.13969E-016
     121   -0.17057E+000  -0.46013E+000  -0.14989E+000   0.41112E-001  -0.72088E-001  -0.38748E-002
     122   -0.14888E+000  -0.44371E+000  -0.13153E+000   0.23418E-001  -0.65914E-001   0.42370E-002
     123   -0.21731E+000  -0.50705E+000  -0.21731E+000   0.48630E-002  -0.99943E-001   0.00000E+000
     124   -0.21731E+000  -0.50705E+000  -0.21731E+000   0.48630E-002  -0.99943E-001   0.00000E+000
     125   -0.15898E+000  -0.44887E+000  -0.13833E+000  -0.84936E-002  -0.76703E-001  -0.10552E-002
     126   -0.21605E+000  -0.50411E+000  -0.21605E+000  -0.19050E-001  -0.94888E-001   0.00000E+000
     127   -0.18767E+000  -0.48024E+000  -0.20314E+000  -0.37449E-001  -0.98600E-001  -0.18646E-002
     128   -0.20580E+000  -0.48020E+000  -0.20580E+000  -0.44777E-001  -0.10217E+000   0.00000E+000
     129   -0.15869E+000  -0.49339E+000  -0.15830E+000  -0.63128E-001  -0.71595E-001   0.32085E-003
     130    0.66093E-003  -0.39872E+000   0.51701E-003  -0.75942E-003   0.71537E-003  -0.62011E-004
     131    0.21802E-002  -0.39821E+000   0.67629E-003  -0.11147E-002   0.95400E-003  -0.96706E-004
     132    0.35743E-002  -0.39870E+000   0.14869E-002  -0.17315E-002   0.13394E-002  -0.22796E-003
     133    0.63780E-002  -0.39919E+000   0.18956E-002  -0.11851E-002   0.11628E-002  -0.34833E-003
     134    0.64839E-002  -0.39886E+000   0.95745E-003  -0.69890E-003   0.14728E-002  -0.18611E-004
     135    0.84069E-002  -0.39892E+000   0.22133E-002   0.33010E-003   0.18014E-002   0.17761E-003
     136    0.68565E-002  -0.39868E+000   0.20370E-002   0.11071E-002   0.17394E-002   0.28276E-003
     137    0.56827E-002  -0.39835E+000   0.21265E-002   0.16226E-002   0.18559E-002   0.47634E-003
     138    0.34753E-002  -0.39917E+000   0.11525E-002   0.18139E-002   0.13972E-002   0.22586E-003
     139    0.27198E-002  -0.39905E+000   0.89474E-003   0.14295E-002   0.82288E-003   0.16488E-003
     140    0.57793E-003  -0.39892E+000   0.62383E-003   0.94123E-003   0.67752E-003   0.10367E-003
     141   -0.14622E+000  -0.37647E+000  -0.14294E+000  -0.30533E-002   0.34076E-002   0.61220E-002
     142   -0.13256E+000  -0.38217E+000  -0.13420E+000  -0.23438E-001   0.73877E-002   0.11013E-002
     143   -0.14169E+000  -0.42017E+000  -0.13573E+000  -0.22615E-001  -0.61974E-001   0.21021E-002
     144   -0.13682E+000  -0.37662E+000  -0.13578E+000   0.33804E-001   0.12948E-001   0.24610E-002
     145   -0.15343E+000  -0.37697E+000  -0.14667E+000  -0.46281E-002  -0.25996E-001  -0.51956E-002
     146   -0.16362E+000  -0.40261E+000  -0.16327E+000   0.46662E-001  -0.16783E-001  -0.56003E-002
     147   -0.14828E+000  -0.37808E+000  -0.13981E+000   0.62736E-002   0.44591E-001   0.55707E-003
     148   -0.14088E+000  -0.38821E+000  -0.13517E+000  -0.21256E-001   0.45796E-001  -0.10799E-003
     149   -0.13557E+000  -0.40331E+000  -0.14100E+000  -0.55651E-001  -0.29439E-001   0.53109E-003
     150   -0.14830E+000  -0.36697E+000  -0.15010E+000  -0.25175E-001  -0.17414E-001   0.43140E-002
     151   -0.13644E+000  -0.40005E+000  -0.13551E+000   0.30992E-001  -0.42922E-001  -0.13687E-002
     152   -0.14316E+000  -0.40641E+000  -0.15284E+000  -0.57633E-001  -0.85527E-002   0.89347E-004
     153   -0.14853E+000  -0.39119E+000  -0.15430E+000   0.53962E-001  -0.35001E-002   0.33569E-002
     154   -0.14219E+000  -0.42616E+000  -0.15266E+000  -0.59302E-001   0.17681E-001  -0.85633E-003
     155   -0.15619E+000  -0.41874E+000  -0.14234E+000   0.14528E-002  -0.55764E-001  -0.12449E-003
     156   -0.16142E+000  -0.37664E+000  -0.16142E+000   0.38743E-002   0.29441E-001  -0.77867E-018
     157   -0.13521E+000  -0.43920E+000  -0.13626E+000  -0.59877E-001   0.52540E-001  -0.50755E-003
     158   -0.16446E+000  -0.43355E+000  -0.16419E+000  -0.56046E-001  -0.65360E-001  -0.14150E-002
     159   -0.16068E+000  -0.38960E+000  -0.14546E+000  -0.19192E-002   0.47254E-001  -0.18908E-002
     160   -0.15192E+000  -0.43019E+000  -0.15089E+000   0.68328E-001  -0.39640E-001  -0.30115E-002
     161   -0.15504E+000  -0.41456E+000  -0.16052E+000   0.70754E-001   0.22929E-001  -0.21872E-002
     162   -0.14170E+000  -0.37908E+000  -0.14361E+000   0.11016E-001  -0.12100E-001   0.54823E-002
     163   -0.13847E+000  -0.37638E+000  -0.14439E+000   0.29871E-001   0.37117E-001  -0.29275E-003
     164   -0.17171E+000  -0.40065E+000  -0.17171E+000   0.23372E-001  -0.28855E-002   0.00000E+000
     165   -0.15392E+000  -0.42418E+000  -0.14222E+000  -0.16732E-001   0.76959E-001  -0.14751E-002
